,season,dteday,cnt
0,Fall,2011-06-21,4835
1,Fall,2011-06-22,4507
2,Fall,2011-06-23,4790
3,Fall,2011-06-24,4991
4,Fall,2011-06-25,5202
5,Fall,2011-06-26,5305
6,Fall,2011-06-27,4708
7,Fall,2011-06-28,4648
8,Fall,2011-06-29,5225
9,Fall,2011-06-30,5515
10,Fall,2011-07-01,5362
11,Fall,2011-07-02,5119
12,Fall,2011-07-03,4649
13,Fall,2011-07-04,6043
14,Fall,2011-07-05,4665
15,Fall,2011-07-06,4629
16,Fall,2011-07-07,4592
17,Fall,2011-07-08,4040
18,Fall,2011-07-09,5336
19,Fall,2011-07-10,4881
20,Fall,2011-07-11,4086
21,Fall,2011-07-12,4258
22,Fall,2011-07-13,4342
23,Fall,2011-07-14,5084
24,Fall,2011-07-15,5538
25,Fall,2011-07-16,5923
26,Fall,2011-07-17,5302
27,Fall,2011-07-18,4458
28,Fall,2011-07-19,4541
29,Fall,2011-07-20,4332
30,Fall,2011-07-21,3784
31,Fall,2011-07-22,3387
32,Fall,2011-07-23,3285
33,Fall,2011-07-24,3606
34,Fall,2011-07-25,3840
35,Fall,2011-07-26,4590
36,Fall,2011-07-27,4656
37,Fall,2011-07-28,4390
38,Fall,2011-07-29,3846
39,Fall,2011-07-30,4475
40,Fall,2011-07-31,4302
41,Fall,2011-08-01,4266
42,Fall,2011-08-02,4845
43,Fall,2011-08-03,3574
44,Fall,2011-08-04,4576
45,Fall,2011-08-05,4866
46,Fall,2011-08-06,4294
47,Fall,2011-08-07,3785
48,Fall,2011-08-08,4326
49,Fall,2011-08-09,4602
50,Fall,2011-08-10,4780
51,Fall,2011-08-11,4792
52,Fall,2011-08-12,4905
53,Fall,2011-08-13,4150
54,Fall,2011-08-14,3820
55,Fall,2011-08-15,4338
56,Fall,2011-08-16,4725
57,Fall,2011-08-17,4694
58,Fall,2011-08-18,3805
59,Fall,2011-08-19,4153
60,Fall,2011-08-20,5191
61,Fall,2011-08-21,3873
62,Fall,2011-08-22,4758
63,Fall,2011-08-23,5895
64,Fall,2011-08-24,5130
65,Fall,2011-08-25,3542
66,Fall,2011-08-26,4661
67,Fall,2011-08-27,1115
68,Fall,2011-08-28,4334
69,Fall,2011-08-29,4634
70,Fall,2011-08-30,5204
71,Fall,2011-08-31,5058
72,Fall,2011-09-01,5115
73,Fall,2011-09-02,4727
74,Fall,2011-09-03,4484
75,Fall,2011-09-04,4940
76,Fall,2011-09-05,3351
77,Fall,2011-09-06,2710
78,Fall,2011-09-07,1996
79,Fall,2011-09-08,1842
80,Fall,2011-09-09,3544
81,Fall,2011-09-10,5345
82,Fall,2011-09-11,5046
83,Fall,2011-09-12,4713
84,Fall,2011-09-13,4763
85,Fall,2011-09-14,4785
86,Fall,2011-09-15,3659
87,Fall,2011-09-16,4760
88,Fall,2011-09-17,4511
89,Fall,2011-09-18,4274
90,Fall,2011-09-19,4539
91,Fall,2011-09-20,3641
92,Fall,2011-09-21,4352
93,Fall,2011-09-22,4795
94,Fall,2012-06-21,5905
95,Fall,2012-06-22,5823
96,Fall,2012-06-23,7458
97,Fall,2012-06-24,6891
98,Fall,2012-06-25,6779
99,Fall,2012-06-26,7442
100,Fall,2012-06-27,7335
101,Fall,2012-06-28,6879
102,Fall,2012-06-29,5463
103,Fall,2012-06-30,5687
104,Fall,2012-07-01,5531
105,Fall,2012-07-02,6227
106,Fall,2012-07-03,6660
107,Fall,2012-07-04,7403
108,Fall,2012-07-05,6241
109,Fall,2012-07-06,6207
110,Fall,2012-07-07,4840
111,Fall,2012-07-08,4672
112,Fall,2012-07-09,6569
113,Fall,2012-07-10,6290
114,Fall,2012-07-11,7264
115,Fall,2012-07-12,7446
116,Fall,2012-07-13,7499
117,Fall,2012-07-14,6969
118,Fall,2012-07-15,6031
119,Fall,2012-07-16,6830
120,Fall,2012-07-17,6786
121,Fall,2012-07-18,5713
122,Fall,2012-07-19,6591
123,Fall,2012-07-20,5870
124,Fall,2012-07-21,4459
125,Fall,2012-07-22,7410
126,Fall,2012-07-23,6966
127,Fall,2012-07-24,7592
128,Fall,2012-07-25,8173
129,Fall,2012-07-26,6861
130,Fall,2012-07-27,6904
131,Fall,2012-07-28,6685
132,Fall,2012-07-29,6597
133,Fall,2012-07-30,7105
134,Fall,2012-07-31,7216
135,Fall,2012-08-01,7580
136,Fall,2012-08-02,7261
137,Fall,2012-08-03,7175
138,Fall,2012-08-04,6824
139,Fall,2012-08-05,5464
140,Fall,2012-08-06,7013
141,Fall,2012-08-07,7273
142,Fall,2012-08-08,7534
143,Fall,2012-08-09,7286
144,Fall,2012-08-10,5786
145,Fall,2012-08-11,6299
146,Fall,2012-08-12,6544
147,Fall,2012-08-13,6883
148,Fall,2012-08-14,6784
149,Fall,2012-08-15,7347
150,Fall,2012-08-16,7605
151,Fall,2012-08-17,7148
152,Fall,2012-08-18,7865
153,Fall,2012-08-19,4549
154,Fall,2012-08-20,6530
155,Fall,2012-08-21,7006
156,Fall,2012-08-22,7375
157,Fall,2012-08-23,7765
158,Fall,2012-08-24,7582
159,Fall,2012-08-25,6053
160,Fall,2012-08-26,5255
161,Fall,2012-08-27,6917
162,Fall,2012-08-28,7040
163,Fall,2012-08-29,7697
164,Fall,2012-08-30,7713
165,Fall,2012-08-31,7350
166,Fall,2012-09-01,6140
167,Fall,2012-09-02,5810
168,Fall,2012-09-03,6034
169,Fall,2012-09-04,6864
170,Fall,2012-09-05,7112
171,Fall,2012-09-06,6203
172,Fall,2012-09-07,7504
173,Fall,2012-09-08,5976
174,Fall,2012-09-09,8227
175,Fall,2012-09-10,7525
176,Fall,2012-09-11,7767
177,Fall,2012-09-12,7870
178,Fall,2012-09-13,7804
179,Fall,2012-09-14,8009
180,Fall,2012-09-15,8714
181,Fall,2012-09-16,7333
182,Fall,2012-09-17,6869
183,Fall,2012-09-18,4073
184,Fall,2012-09-19,7591
185,Fall,2012-09-20,7720
186,Fall,2012-09-21,8167
187,Fall,2012-09-22,8395
188,Spring,2011-01-01,985
189,Spring,2011-01-02,801
190,Spring,2011-01-03,1349
191,Spring,2011-01-04,1562
192,Spring,2011-01-05,1600
193,Spring,2011-01-06,1606
194,Spring,2011-01-07,1510
195,Spring,2011-01-08,959
196,Spring,2011-01-09,822
197,Spring,2011-01-10,1321
198,Spring,2011-01-11,1263
199,Spring,2011-01-12,1162
200,Spring,2011-01-13,1406
201,Spring,2011-01-14,1421
202,Spring,2011-01-15,1248
203,Spring,2011-01-16,1204
204,Spring,2011-01-17,1000
205,Spring,2011-01-18,683
206,Spring,2011-01-19,1650
207,Spring,2011-01-20,1927
208,Spring,2011-01-21,1543
209,Spring,2011-01-22,981
210,Spring,2011-01-23,986
211,Spring,2011-01-24,1416
212,Spring,2011-01-25,1985
213,Spring,2011-01-26,506
214,Spring,2011-01-27,431
215,Spring,2011-01-28,1167
216,Spring,2011-01-29,1098
217,Spring,2011-01-30,1096
218,Spring,2011-01-31,1501
219,Spring,2011-02-01,1360
220,Spring,2011-02-02,1526
221,Spring,2011-02-03,1550
222,Spring,2011-02-04,1708
223,Spring,2011-02-05,1005
224,Spring,2011-02-06,1623
225,Spring,2011-02-07,1712
226,Spring,2011-02-08,1530
227,Spring,2011-02-09,1605
228,Spring,2011-02-10,1538
229,Spring,2011-02-11,1746
230,Spring,2011-02-12,1472
231,Spring,2011-02-13,1589
232,Spring,2011-02-14,1913
233,Spring,2011-02-15,1815
234,Spring,2011-02-16,2115
235,Spring,2011-02-17,2475
236,Spring,2011-02-18,2927
237,Spring,2011-02-19,1635
238,Spring,2011-02-20,1812
239,Spring,2011-02-21,1107
240,Spring,2011-02-22,1450
241,Spring,2011-02-23,1917
242,Spring,2011-02-24,1807
243,Spring,2011-02-25,1461
