,workingday,dteday,cnt
0,No,2011-01-01,985
1,No,2011-01-02,801
2,No,2011-01-08,959
3,No,2011-01-09,822
4,No,2011-01-15,1248
5,No,2011-01-16,1204
6,No,2011-01-17,1000
7,No,2011-01-22,981
8,No,2011-01-23,986
9,No,2011-01-29,1098
10,No,2011-01-30,1096
11,No,2011-02-05,1005
12,No,2011-02-06,1623
13,No,2011-02-12,1472
14,No,2011-02-13,1589
15,No,2011-02-19,1635
16,No,2011-02-20,1812
17,No,2011-02-21,1107
18,No,2011-02-26,1969
19,No,2011-02-27,2402
20,No,2011-03-05,2077
21,No,2011-03-06,605
22,No,2011-03-12,2132
23,No,2011-03-13,2417
24,No,2011-03-19,3117
25,No,2011-03-20,2471
26,No,2011-03-26,2496
27,No,2011-03-27,1693
28,No,2011-04-02,2252
29,No,2011-04-03,3249
30,No,2011-04-09,2455
31,No,2011-04-10,2895
32,No,2011-04-15,3126
33,No,2011-04-16,795
34,No,2011-04-17,3744
35,No,2011-04-23,4036
36,No,2011-04-24,4191
37,No,2011-04-30,5312
38,No,2011-05-01,3351
39,No,2011-05-07,4714
40,No,2011-05-08,4333
41,No,2011-05-14,3409
42,No,2011-05-15,4553
43,No,2011-05-21,5805
44,No,2011-05-22,4660
45,No,2011-05-28,4758
46,No,2011-05-29,4788
47,No,2011-05-30,4098
48,No,2011-06-04,5342
49,No,2011-06-05,4906
50,No,2011-06-11,4966
51,No,2011-06-12,4460
52,No,2011-06-18,5119
53,No,2011-06-19,4744
54,No,2011-06-25,5202
55,No,2011-06-26,5305
56,No,2011-07-02,5119
57,No,2011-07-03,4649
58,No,2011-07-04,6043
59,No,2011-07-09,5336
60,No,2011-07-10,4881
61,No,2011-07-16,5923
62,No,2011-07-17,5302
63,No,2011-07-23,3285
64,No,2011-07-24,3606
65,No,2011-07-30,4475
66,No,2011-07-31,4302
67,No,2011-08-06,4294
68,No,2011-08-07,3785
69,No,2011-08-13,4150
70,No,2011-08-14,3820
71,No,2011-08-20,5191
72,No,2011-08-21,3873
73,No,2011-08-27,1115
74,No,2011-08-28,4334
75,No,2011-09-03,4484
76,No,2011-09-04,4940
77,No,2011-09-05,3351
78,No,2011-09-10,5345
79,No,2011-09-11,5046
80,No,2011-09-17,4511
81,No,2011-09-18,4274
82,No,2011-09-24,5423
83,No,2011-09-25,5010
84,No,2011-10-01,2429
85,No,2011-10-02,2918
86,No,2011-10-08,5409
87,No,2011-10-09,5511
88,No,2011-10-10,5117
89,No,2011-10-15,5217
90,No,2011-10-16,5041
91,No,2011-10-22,4308
92,No,2011-10-23,4381
93,No,2011-10-29,627
94,No,2011-10-30,3331
95,No,2011-11-05,3926
96,No,2011-11-06,3649
97,No,2011-11-11,3368
98,No,2011-11-12,4067
99,No,2011-11-13,3717
100,No,2011-11-19,3663
101,No,2011-11-20,3520
102,No,2011-11-24,1495
103,No,2011-11-26,3068
104,No,2011-11-27,3071
105,No,2011-12-03,3614
106,No,2011-12-04,3485
107,No,2011-12-10,3190
108,No,2011-12-11,2743
109,No,2011-12-17,2739
110,No,2011-12-18,2431
111,No,2011-12-24,1011
112,No,2011-12-25,754
113,No,2011-12-26,1317
114,No,2011-12-31,2485
115,No,2012-01-01,2294
116,No,2012-01-02,1951
117,No,2012-01-07,4521
118,No,2012-01-08,3425
119,No,2012-01-14,2493
120,No,2012-01-15,2311
121,No,2012-01-16,2298
122,No,2012-01-21,1301
123,No,2012-01-22,1977
124,No,2012-01-28,4023
125,No,2012-01-29,3243
126,No,2012-02-04,2832
127,No,2012-02-05,2947
128,No,2012-02-11,2169
129,No,2012-02-12,1529
130,No,2012-02-18,4318
131,No,2012-02-19,2689
132,No,2012-02-20,3129
133,No,2012-02-25,2732
134,No,2012-02-26,3389
135,No,2012-03-03,4066
136,No,2012-03-04,3423
137,No,2012-03-10,4118
138,No,2012-03-11,4911
139,No,2012-03-17,7836
140,No,2012-03-18,5892
141,No,2012-03-24,3372
142,No,2012-03-25,4996
143,No,2012-03-31,6235
144,No,2012-04-01,6041
145,No,2012-04-07,6857
146,No,2012-04-08,5169
147,No,2012-04-14,7460
148,No,2012-04-15,7132
149,No,2012-04-16,6370
150,No,2012-04-21,6624
151,No,2012-04-22,1027
152,No,2012-04-28,4220
153,No,2012-04-29,6304
154,No,2012-05-05,6883
155,No,2012-05-06,6359
156,No,2012-05-12,7429
157,No,2012-05-13,6118
158,No,2012-05-19,8294
159,No,2012-05-20,7129
160,No,2012-05-26,6536
161,No,2012-05-27,6591
162,No,2012-05-28,6043
163,No,2012-06-02,8120
164,No,2012-06-03,7641
165,No,2012-06-09,7498
166,No,2012-06-10,6598
167,No,2012-06-16,7702
